Comarca,Municipi,Codi municipi,Refugi climàtic,Latitud,Longitud,Tipologia,Nom,Adreça,Telèfon,Correu,Horari,Gratuïtat,Accessibilitat,Aigua,Lavabo,Mobiliari per seure,Capacitat,Georeferència
Baix Llobregat,Sant Joan Despí,082172,Sí,41.37693812,2.05953562,Equipament cívic,Centre cívic Torreblanca,"C. Rubió i Tuduri, 5",934772268,cctorreblanca@sjdespi.net,dl. a dv. 09:00 - 13:00 i 16:00 - 19:00 | ds. i dg. 17:30 - 20:30 || Agost tancat,Sí,Sí,No,Sí,Sí,40,POINT (2.05953562 41.37693812)
Vallès Oriental,Lliçà d'Amunt,081075,Sí,41.61225827,2.23930914,Equipament cívic,Casal de la Gent Gran del Centre,"C. Folch i Torres, 102",398416155,llam.casalgentgran@llicamunt.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,250,POINT (2.23930914 41.61225827)
Baix Llobregat,Olesa de Montserrat,081477,Sí,41.54025405,1.89550544,Equipament cívic,AVV Rambla Eixample,"C. Mossèn Jacint Verdaguer, 30, 08640 Olesa de Montserrat, Barcelona",NA,NA,16:30 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.89550544 41.54025405)
Baix Camp,Reus,431233,Sí,41.15699738,1.10307016,Altres,Mercat Central,"C. de Josep Sardà i Cailà, s/n, 43201 Reus, Tarragona",97730006,NA,"dl., dt., dc. i ds. 08:00 - 15:30 | dj. i dv. 08:00 - 20:00",Sí,Sí,Sí,Sí,No,,POINT (1.10307016 41.15699738)
Osona,Vic,082981,Sí,41.92404184,2.26141954,Altres,Plaça Josep Maria Pericas,Pl. Josep Maria Pericas,938862100,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.26141954 41.92404184)
Vallès Occidental,Terrassa,08223,Sí,41.5492624,1.9988615,Equipament cívic,Casal Cívic i Comunitari Terrassa - Can jofresa,"C. d'Igualada, s/n",936249401,cc.canjofresa@gencat.cat,"dl., dc. i dv. 15:00 - 21:00 | dt. i dj. 09:00 - 14:00 i 15:00 - 21:00",Sí,Sí,Sí,Sí,Sí,76,POINT (1.9988615 41.5492624)
Barcelonès,Barcelona,080193,Sí,41.35862533,2.15930348,Parc densament arbrat,Parc del Mirador del Migdia,"Pg. del Migdia, 156-174",NA,NA,Indefinit,Sí,Sí,NA,No,NA,,POINT (2.15930348 41.35862533)
Maresme,Mataró,081213,Sí,41.53842258,2.43371181,Biblioteca,Biblioteca Pompeu Fabra,"Pl. d'Occitania, s/n",937412920,NA,10:00 - 13:00 i 16:00 - 19:00,Sí,Sí,No,Sí,Sí,,POINT (2.43371181 41.53842258)
Barcelonès,Barcelona,080193,Sí,41.37229046,2.1391946,Centre educatiu,Escola Bressol Municipal L'Esquirol,"C. Noguera Pallaresa, 32",NA,ebmlesquirol@bcn.cat,Juliol: Tancat | ds. 17:30 - 20:00 || Agost: Tancat || Setembre: Tancat | Fins el 14: ds. 17:30 - 20:00,Sí,NA,NA,NA,NA,,POINT (2.1391946 41.37229046)
Vallès Oriental,Martorelles,081154,Sí,41.52600937,2.23661633,Equipament cívic,Espai cívic El Safareig,Parc de Can Sunyer,NA,NA,17:00 - 21:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.23661633 41.52600937)
Lluçanès,Alpens,080044,Sí,42.11959363,2.10278121,Parc densament arbrat,Jardins de la Torre,"Ctra. Berga, 10-12",667903976,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,100,POINT (2.10278121 42.11959363)
Barcelonès,Barcelona,080193,Sí,41.37768245,2.16310181,Parc densament arbrat,Jardins de Càndida Pérez,"C. Compte Borrell, 44",NA,NA,dl. a dv. 10:00 - 22:00 | ds. 10:00 - 22:00 | dg. 10:00 - 22:00,Sí,NA,Sí,No,NA,,POINT (2.16310181 41.37768245)
Gironès,Girona,170792,Sí,41.98822954,2.82678441,Parc densament arbrat,Passeig Arqueològic,Pg. Arqueològic,972419000,ajuntamentinforma@ajgirona.cat,Indefinit,Sí,No,No,No,Sí,,POINT (2.82678441 41.98822954)
Segrià,Torrebesses,252265,Sí,41.42610707,0.59555573,Sala polivalent,Casal social,"C. Planeta, 32-34",973126059,ajuntament@torrebesses.cat,08:00 - 00:00,Sí,Sí,No,Sí,Sí,200,POINT (0.59555573 41.42610707)
Vallès Occidental,Rubí,081846,Sí,41.48448134,2.01888071,Parc densament arbrat,Plaça dels Ocells (Els Avets),Pl. dels Ocells (Els Avets),NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.01888071 41.48448134)
Barcelonès,Barcelona,080193,Sí,41.37779805,2.12173929,Equipament cívic,Centre cívic Josep M Trias i Peitx,"C. Riera Blanca, 1-3",NA,ccjosepmtriasipeitx@lleuresport.cat,Juliol i Setembre: dl. a dv. 09:00 - 22:00 | ds. 09:00 - 14:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.12173929 41.37779805)
Segrià,Puigverd de Lleida,251826,Sí,41.54350175,0.73331283,Biblioteca,Biblioteca La Renaixença,"Pl. Major, 7",973167344,NA,16:15 - 20:00,Sí,Sí,Sí,Sí,Sí,25,POINT (0.73331283 41.54350175)
Osona,Tona,082830,Sí,41.85287973,2.22579724,Parc densament arbrat,Parc de les Feixetes,"C. del Castell, 36",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.22579724 41.85287973)
Segarra,Guissona,251109,Sí,41.78694816,1.28955057,Biblioteca,Biblioteca municipal,"Av. Onze de Setembre, 1",973551121,biblioteca.guissona@guissona.cat,"dt., dj. i ds. 10:00 - 13:00 | dl. a dv. 16:00 - 21:00",Sí,Sí,Sí,Sí,Sí,,POINT (1.28955057 41.78694816)
Barcelonès,Barcelona,080193,Sí,41.37629597,2.14930504,Altres,Centre Comercial Arenas de Barcelona,"G. Via Corts Catalanes, 373-385",NA,arenas.informacion@arenasdebarcelona.com,dl. a dv. 10:00 - 22:00 | ds. 10:00 - 22:00 | dg. 10:00 - 22:00,Sí,Sí,No,Sí,Sí,,POINT (2.14930504 41.37629597)
Baix Llobregat,Olesa de Montserrat,081477,Sí,41.5440585,1.88560547,Altres,Policia Local,"C. Amadeu Paltor, 28",937783131,policia@olesademontserrat.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (1.88560547 41.5440585)
Priorat,Cornudella de Montsant,430496,Sí,41.26483199,0.90520501,Sala polivalent,Sala d'exposicions 1 d'octubre,"C. Comte de Rius, 10",977561416,aj.cornudella@altanet.org,12:00 - 18:00,Sí,Sí,Sí,Sí,Sí,30,POINT (0.90520501 41.26483199)
Barcelonès,Sant Adrià de Besòs,08930,Sí,41.4198245,2.2108175,Equipament cívic,Casal Cívic i Comunitari Sant Adrià de Besòs - Besós,"C. de Jaume Huguet, 2",934620801,cc.santadriabesos@gencat.cat,dl. a dv. 09:00 - 13:30 i 15:00 - 21:00 | ds. 10:00 - 13:30 i 15:00 - 21:00,Sí,Sí,Sí,Sí,Sí,220,POINT (2.2108175 41.4198245)
Baix Llobregat,Begues,080207,Sí,41.33108106,1.92219737,Espai cultural,Petit Casal,"Pg. de l'església, 1",0,NA,dl. a dv. 10:00 - 14:00,Sí,Sí,Sí,Sí,Sí,20,POINT (1.92219737 41.33108106)
Segrià,Montoliu de Lleida,251425,Sí,41.55928015,0.59307303,Piscina,Piscines municipals,"C. Afores, s/n",973720280,ajuntament@montoliulleida.cat,Fins 11/08: 12:00 - 21:00 || Fins 01/09: 11:30 - 20:30,No,Sí,No,Sí,Sí,,POINT (0.59307303 41.55928015)
Anoia,Vilanova del Camí,083020,Sí,41.57630165,1.63651848,Biblioteca,Biblioteca municipal Vilanova del Camí,"C. de la Verge de Núria, 1, 08788 Vilanova del Camí, Barcelona",938054411,cultura@vilanovadelcami.cat,8:00 - 14:00 i 15:30 - 20:00,Sí,Sí,No,Sí,Sí,980,POINT (1.63651848 41.57630165)
Maresme,Canet de Mar,080403,Sí,41.5916589,2.58687325,Parc densament arbrat,Parc de Can Santinyà,"C. Mas el Grau, s/n",NA,NA,Indefinit,Sí,No,No,No,Sí,500,POINT (2.58687325 41.5916589)
Osona,Sant Vicenç de Torelló,082652,Sí,42.06154382,2.2627802,Piscina,Piscina municipal,Ctra. Vilaseca,NA,NA,Indefinit,No,Sí,Sí,Sí,Sí,,POINT (2.2627802 42.06154382)
Baix Llobregat,"Prat de Llobregat, el",08820,Sí,41.3164229,2.0856243,Equipament cívic,Casal Cívic i Comunitari el Prat de Llobregat - Delta,"C. del Riu Llobregat, 94",934787098,cc.deltallobregat@gencat.cat,dl. a dv. 09:00 - 21:00 | ds. 10:00 - 13:30 i 15:00 - 21:00 | dg. 15:00 - 21:00,Sí,Sí,Sí,Sí,Sí,80,POINT (2.0856243 41.3164229)
Vallès Oriental,Martorelles,081154,Sí,41.52936272,2.24127802,Biblioteca,Biblioteca Lolita Mila,"C. del Dr. Santiago Tiffon, 21",935704437,biblioteca@martorelles.cat,dl. a dv. 15:30 - 20:00 | dc. 10:00 - 13:30 || Tancat del 31 de juliol al 30 d’agost,Sí,Sí,Sí,Sí,Sí,,POINT (2.24127802 41.52936272)
Baix Empordà,Corçà,170577,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Baix Empordà,Vall-llobrega,172095,Sí,41.880751,3.12595799,Equipament cívic,Local social,Rbla. de l'Esglèsia,690024168,oif@vall-llobrega.cat,10:00 - 20:00,Sí,Sí,Sí,Sí,Sí,50,POINT (3.12595799 41.880751)
Conca de Barberà,Vallfogona de Riucorb,431592,Sí,41.56427737,1.23772201,Piscina,Piscina pública municipal,C. Johan Cruyff,NA,NA,11:00 - 19:00,No,Sí,No,Sí,Sí,,POINT (1.23772201 41.56427737)
Maresme,Sant Andreu de Llavaneres,081976,Sí,41.57455747,2.48118366,Biblioteca,Biblioteca Font i Daniel,"C. Clòsens, 65",937926872,b.st.andreulla@diba.cat,09:00 - 20:00,Sí,Sí,Sí,Sí,Sí,50,POINT (2.48118366 41.57455747)
Gironès,Celrà,170499,Sí,42.02675545,2.87408911,Equipament cívic,Espai de joc familiar C.C. La Fàbrica,"Ctra. de Juià, 46",972492001,ajuntament@celra.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.87408911 42.02675545)
Alt Camp,Valls,431613,Sí,41.28440133,1.24801467,Sala polivalent,Oficina d'Informació i Turisme,"C. de la Cort, 3",977612530,turisme@valls.cat,dl. a ds. 09:00 - 14:00 i 17:00 - 19:00 | dg. 10:00 - 14:00,Sí,Sí,Sí,Sí,Sí,20,POINT (1.24801467 41.28440133)
Vallès Oriental,"Ametlla del Vallès, l'",080057,Sí,41.66166101,2.25674552,Piscina,Piscina de can Camp,"C. La Vinya, s/n",NA,NA,11:00 - 20:00,No,Sí,No,Sí,Sí,200,POINT (2.25674552 41.66166101)
Solsonès,Odèn,251484,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vallès Occidental,Sabadell,081878,Sí,41.57037116,2.08183308,Equipament cívic,CCC Sabadell-Roureda,"C. de Costabona, 25, 08207 Sabadell, Barcelona",937239840,NA,09:00 - 13:30 i 15:00 - 21:00,Sí,Sí,No,Sí,Sí,,POINT (2.08183308 41.57037116)
Baix Llobregat,Sant Vicenç dels Horts,082634,Sí,41.39613714,1.99949265,Parc densament arbrat,Parc del Pi Gros,"Parc del Pi Gros, s/n, 08620 Sant Vicenç dels Horts",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (1.99949265 41.39613714)
Vallès Occidental,Terrassa,082798,Sí,41.55778472,2.04015536,Parc densament arbrat,Bosc de Vilardell,"Camí dels Monjos, 1",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.04015536 41.55778472)
Barcelonès,Barcelona,080193,Sí,41.38142264,2.15406874,Parc densament arbrat,Jardins de Paula Montal,Viladomat 149-151,NA,NA,dl. a dv. 10:00 - 22:00 | ds. 10:00 - 22:00 | dg. 10:00 - 22:00,Sí,NA,Sí,No,Sí,,POINT (2.15406874 41.38142264)
Solsonès,Solsona,252075,Sí,41.99459052,1.51365583,Sala polivalent,Sala polivalent,"C. Gaudí, 2",973484102,salapolivalent@ajsolsona.cat,Indefinit,Sí,Sí,No,Sí,Sí,800,POINT (1.51365583 41.99459052)
Solsonès,Lladurs,251240,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vallès Occidental,Sabadell,081878,Sí,41.52625298,2.11846501,Equipament cívic,Casal cívic Creu Barbera,"pl. de Castelao, 1",937116857,NA,10:00 - 13:30,Sí,Sí,No,Sí,Sí,,POINT (2.11846501 41.52625298)
Baix Empordà,Albons,170046,Sí,42.10232719,3.08330863,Sala polivalent,Sala polivalent,"C. de Tor, 1",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (3.08330863 42.10232719)
Baix Empordà,Begur,170139,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barcelonès,Barcelona,080193,Sí,41.39168267,2.18457384,Equipament cívic,Casal de gent gran Parc Sandaru,"C. Buenaventura Muñoz, 21",NA,casalgg.parcsandaru@bcn.cat,Juliol i Setembre: dl. a dv. 09:30 - 13:30 i 16:00 - 20:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.18457384 41.39168267)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.3223071,2.08461192,Parc densament arbrat,Parc de la Solidaritat,Parc de la Solidaritat,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.08461192 41.3223071)
Solsonès,Pinós,251673,Sí,41.85068887,1.51849395,Piscina,Piscina Ardèvol,"Ctra. Torà, s/n,  25287 Ardèvol",670026904,ajuntament@pinos.ddl.net,Indefinit,No,Sí,Sí,Sí,Sí,50,POINT (1.51849395 41.85068887)
Barcelonès,Barcelona,080193,Sí,41.37870911,2.15761077,Parc densament arbrat,Jardins Tete Montoliu,"Sepúlveda, 88",NA,NA,dl. a dv. 10:00 - 22:00 | ds. 10:00 - 22:00 | dg. 10:00 - 22:00,Sí,NA,Sí,No,Sí,,POINT (2.15761077 41.37870911)
Baix Llobregat,Sant Andreu de la Barca,081960,Sí,41.44964343,1.97597054,Altres,Cuap  La Solana,"C. Felip Neri, 18",NA,NA,Indefinit,Sí,Sí,No,Sí,Sí,10,POINT (1.97597054 41.44964343)
Vallès Oriental,Parets del Vallès,081593,Sí,41.57597025,2.2310796,Equipament cívic,Casal gent gran Ca n'Oms,"C. Ponent, 14, 08150 Parets del Vallès",935621402,casal.canoms@parets.cat,10:00 - 13:00 i 15:00 - 20:00,Sí,Sí,Sí,Sí,Sí,80,POINT (2.2310796 41.57597025)
Montsià,Mas de Barberans,430770,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Baix Llobregat,Vallirana,082956,Sí,41.38694871,1.93269379,Equipament cívic,Espai central de Joves,"Av. Parellada, 6-8",667902369,vlrn.escoltajove@vallirana.cat,dl. a dv. 16:00 - 21:00 | ds. alterns,Sí,Sí,Sí,Sí,Sí,,POINT (1.93269379 41.38694871)
Vallès Occidental,Barberà del Vallès,082520,Sí,41.5130892,2.12600158,Parc densament arbrat,Parc Can Serra,Parc Can Serra,937297171,barbera@bdv.cat,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.12600158 41.5130892)
Baix Llobregat,Castellví de Rosanes,080667,Sí,41.452391,1.898324,Equipament cívic,Centre social,"Av. Mare de Déu de Montserrat, 29 (planta superior, sala 2)",937751942,info@castellviderosanes.cat,Indefinit,Sí,Sí,No,Sí,Sí,28,POINT (1.898324 41.452391)
Baix Camp,Reus,431233,Sí,41.1441847,1.11758267,Biblioteca,Biblioteca Pere Anguera,"C. de Joan Salvat Papasseit, 14, 43204 Reus, Tarragona",977010025,info.biblioteques@reus.cat,dl. a dj. 17:00 - 20:00 | dv. 10:00 - 14:01,Sí,Sí,Sí,Sí,Sí,,POINT (1.11758267 41.1441847)
Baix Camp,Vinyols i els Arcs,431785,Sí,41.06856869,1.06216582,Altres,Llar de jubilats els Arcs,"C. Josep Maria Folch i Torres, 5",977850461,aj.vinyols@altanet.org,dl. a dv. 17:00 - 20:00,Sí,Sí,Sí,No,No,20,POINT (1.06216582 41.06856869)
Vallès Occidental,Terrassa,082798,Sí,41.58192762,2.01832935,Parc densament arbrat,Plaça Can Tusell,Pl. Can Tusell,NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (2.01832935 41.58192762)
Pallars Jussà,Llimiana,251288,Sí,42.07470596,0.91718659,Piscina,Piscina municipal,"C. de la font, 1",NA,NA,Matí: 11:00 - 14:00 | Tarda: 16:00 - 19:15,Sí,Sí,Sí,Sí,Sí,100,POINT (0.91718659 42.07470596)
Osona,Balenyà,080174,Sí,41.81560499,2.23600851,Espai cultural,Casal d'avis,"Pl. Bosch i Jover, 1",699064627,balenya@diba.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,40,POINT (2.23600851 41.81560499)
Barcelonès,Barcelona,080193,Sí,41.38000868,2.1885708,Altres,Parròquia de Sant Miquel del Port,"C. Sant Miquel, 39",NA,santmiquel145@arqbcn.org,dl. a dv. 09:45 - 13:00 | ds. 09:45 - 13:00 | dg. 09:45 - 13:00,Sí,Sí,No,Sí,Sí,,POINT (2.1885708 41.38000868)
Osona,Manlleu,081120,Sí,42.00077908,2.28365376,Equipament cívic,Casal de la Plaça (ASVAT),"Pl. Fra Bernadí, 4",938511818,asvatmanlleu@gmail.com,Matí: dl. a dv. 08:00 - 13:00 i ds. 09:00 - 13:00 | Tarda: dl. a ds. 14:00 - 20:00 || Tancat les tardes del 14 al 20 d’agost,Sí,Sí,Sí,Sí,Sí,,POINT (2.28365376 42.00077908)
Alt Camp,Valls,431613,Sí,41.29550254,1.259988,Poliesportiu,Pavelló Xavi Tondo,"Pg. President Tarradellas, 2-6",977614403,suport.pme@valls.cat,11:00 - 20:00,Sí,Sí,Sí,Sí,Sí,15,POINT (1.259988 41.29550254)
Moianès,Castellcir,080556,Sí,41.760466,2.149922,Equipament cívic,Cal Salvador,"C. Major, 37",938668151,castellcir@castellcir.cat,10:00 - 13:30,Sí,Sí,Sí,Sí,Sí,20,POINT (2.149922 41.760466)
Baix Llobregat,Vallirana,082956,Sí,41.38263877,1.92605336,Equipament cívic,Casal joves Vallirana,"C. Major, 616, 08759 Vallirana, Barcelona",936832334,NA,dl. a dv. 09:00 - 21:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.92605336 41.38263877)
Vallès Occidental,Rubí,081846,Sí,41.47846908,2.03507911,Parc densament arbrat,Parc de Ca n’Alzamora,Parc de Ca n’Alzamora,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.03507911 41.47846908)
Osona,Taradell,082785,Sí,41.87721816,2.28676898,Parc densament arbrat,La Font Gran,"C. de la Font, s/n",NA,NA,Indefinit,Sí,No,Sí,No,Sí,150,POINT (2.28676898 41.87721816)
Noguera,Bellmunt d'Urgell,250498,Sí,41.773538,0.95345458,Espai cultural,Local social de Bellmunt d'Urgell,Pl. Escoles,973610436,ajuntament@bellmunt.ddl.net,Indefinit,Sí,Sí,Sí,Sí,Sí,60,POINT (0.95345458 41.773538)
Baix Ebre,Deltebre,439018,Sí,40.72822369,0.83996974,Altres,Zona pícnic Passeig Marítim,Pg. Marítim - Riumar,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (0.83996974 40.72822369)
Barcelonès,Barcelona,080193,Sí,41.41661268,2.19857651,Equipament cívic,Centre cívic Sant Martí,"C. Selva de Mar, 215",NA,informacio@ccsantmarti.net,Juliol i Setembre: dl. a dv. 09:00 - 14:00 i 16:00 - 22:00 | ds. 09:00 - 14:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.19857651 41.41661268)
Barcelonès,Barcelona,080193,Sí,41.39413505,2.17312702,Parc densament arbrat,Jardins Jaume Perich,"G. Via de les Corts Catalanes, 659",NA,NA,dl. a dv. 10:00 - 22:00 | ds. 10:00 - 22:00 | dg. 10:00 - 22:00,Sí,NA,Sí,No,Sí,,POINT (2.17312702 41.39413505)
Barcelonès,"Hospitalet de Llobregat, l'",081017,Sí,41.36511971,2.09579075,Parc densament arbrat,Parc Can Buxeres,"Ctra. Esplugues, 1",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.09579075 41.36511971)
Pla de l'Estany,Banyoles,170157,Sí,42.11930919,2.76506978,Espai cultural,Museu Darder,"Pl. dels estudis, 2",972574467,NA,dt. a dg. 10:30 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.76506978 42.11930919)
Segarra,Cervera,25200,Sí,42.0150629,1.0375184,Equipament cívic,Casal Cívic i Comunitari Cervera,"C. de Manuel Ibarra, s/n (cant. Pare Claret)",973533718,cc.cervera@gencat.cat,Juliol: dl. a dv. 09:00 - 21:00 | ds. 10:00 - 14:00 || Agost: dl. a dv. 11:00 - 19:00,Sí,Sí,Sí,Sí,Sí,88,POINT (1.0375184 42.0150629)
Vallès Occidental,Terrassa,082798,Sí,41.56322507,2.00386523,Parc densament arbrat,Parc de Sant Jordi,"Pl. de Josep Freixa i Argemí, 11",NA,NA,08:00 - 00:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.00386523 41.56322507)
Gironès,Bescanó,170209,Sí,41.96367981,2.73764038,Biblioteca,Biblioteca Josep Fontbernat i Verdaguer,"Pl. de les Nacions, 10",972440720,NA,08:00 - 15:00 i 17:00 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.73764038 41.96367981)
Vallès Oriental,Aiguafreda,080142,Sí,41.7704127,2.25046554,Piscina,Piscina municipal d'Aiguafreda,"C. Nostra Senyora de Núria, s/n",938442253,aiguafreda@aiguafreda.cat,11:00 - 19:00,Sí,Sí,No,Sí,Sí,360,POINT (2.25046554 41.7704127)
Baix Llobregat,Sant Joan Despí,082172,Sí,41.37101876,2.07118822,Parc densament arbrat,Parc de la Fontsanta,"C. de la Fontsanta, s/n",NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.07118822 41.37101876)
Baix Llobregat,Corbera de Llobregat,080728,Sí,41.41547666,1.923214,Piscina,Piscina municipal,"Av. Josep Tarradellas, s/n",936500211,ajuntament@corberadellobregat.cat,10:30 a 20:00,Sí,Sí,No,Sí,No,,POINT (1.923214 41.41547666)
Barcelonès,Barcelona,080193,Sí,41.41634099,2.21149739,Equipament cívic,Centre cívic Besós i Maresme,"Rbla. de Prim, 87-89",NA,info@ccbesos.org,Juliol: dl. a dv. 09:00 - 14:00 i 16:00 - 20:00 | ds. 10:00 - 14:00 || Agost: dl. a dv. 09:00 - 14:00 i 15:00 - 20:00 || Setembre: dl. a dv. 08:00 - 14:00 i 16:00 - 20:00 | ds. 10:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.21149739 41.41634099)
Vallès Oriental,Parets del Vallès,081593,Sí,41.57246353,2.23404862,Biblioteca,Biblioteca Can Rajoler,"C. Travessera, 1, 08150 Parets del Vallès",935739801,parets@parets.cat,Indefinit,Sí,Sí,No,Sí,Sí,99,POINT (2.23404862 41.57246353)
Osona,Roda de Ter,081831,Sí,41.9773801,2.307016,Espai cultural,Fundació Miquel Martí I Pol,"C. costa del Ter, 13",938500355,NA,dll. a dv. 10:00 - 13:30 | Vacances del 12 al 16 d’agost,Sí,Sí,Sí,Sí,Sí,20,POINT (2.307016 41.9773801)
Barcelonès,Barcelona,080193,Sí,41.40557652,2.16768782,Equipament cívic,Centre cívic La Sedeta,"C. Sicília, 321",NA,ccsedeta@bcn.cat,Juliol i Setembre: dl. a dv. 09:00 - 22:00 | ds. 10:00 - 14:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.16768782 41.40557652)
Barcelonès,Barcelona,080193,Sí,41.4438042,2.16433965,Biblioteca,Biblioteca Canyelles,"Rda. Guineueta Vella, 34",NA,b.barcelona.c@diba.cat,"Juliol i Setembre: dt. 09:30 - 13:30 i 15:00 - 20:00 | dl., dc., dj. i dv. 15:00 - 20:00 || Agost: Tancat",Sí,Sí,No,Sí,Sí,,POINT (2.16433965 41.4438042)
Vallès Oriental,Sant Feliu de Codines,082107,Sí,41.68439546,2.15096336,Piscina,Piscina municipal Solanes,"C. Muntanya Solanes, s/n",639357330,piscinasolanasfdc@gmail.com,10:30 - 19:30,No,Sí,Sí,Sí,Sí,200,POINT (2.15096336 41.68439546)
Gironès,Girona,170792,Sí,41.98614738,2.82463485,Espai cultural,Museu d'Història dels Jueus (vestíbul),"C. de la Força 8, 17004 Girona",972216761,callgirona@ajgirona.cat,"dt. a ds. 10:00 - 19:00 | dl., dg. i festius 10:00 - 14:00",Sí,Sí,No,Sí,Sí,3,POINT (2.82463485 41.98614738)
Bages,Manresa,081136,Sí,41.73515831,1.83008622,Biblioteca,Biblioteca Ateneu Les Bases,"C. Cintaires, 30-32",935153031,b.manresa.ab@diba.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,100,POINT (1.83008622 41.73515831)
Barcelonès,Barcelona,080193,Sí,41.43575517,2.14715788,Poliesportiu,CEM Mundet,"Olympe de Gouges, s/n",NA,NA,Juliol i Setembre: dl. a dv. 07:00 - 23:00 | ds. 08:00 - 20:00 | dg. 09:00 - 13:30 || Agost: dl. a dv. 09:00 - 20:00 | ds. 10:00 - 14:00,Sí,Sí,No,Sí,Sí,,POINT (2.14715788 41.43575517)
Barcelonès,Barcelona,080193,Sí,41.3994032,2.16150615,Piscina,Piscines del Centre Esportiu Municipal Perill,"C. Perill, 16-22",932081750,NA,Juliol i Agost: dl. a dv. 07:00 - 22:45 | ds. 08:00 - 20:45 | dg. 08:00 - 14:45 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.16150615 41.3994032)
Alt Penedès,Sant Llorenç d'Hortons,082227,Sí,41.470025,1.824378,Parc densament arbrat,La Bassa Gran,"C. de la Bassa Gran, s/n",NA,NA,Indefinit,Sí,Sí,No,No,Sí,,POINT (1.824378 41.470025)
Barcelonès,Barcelona,080193,Sí,41.4176133,2.16222584,Equipament cívic,Casal barri Can Baró-Pirineu,"Josep Serrano, 59-71",NA,direcciocbpirineu@canbaro.net,Juliol i Setembre: dl. a dv. 16:30 - 22:15 | ds. Indefinit || Agost: Tancat,Sí,Sí,No,Sí,NA,,POINT (2.16222584 41.4176133)
Barcelonès,Barcelona,080193,Sí,41.38374067,2.1668637,Espai cultural,Hall CCCB,"C. de Montalegre, 5",NA,info@cccb.org,Agost i Setembre: dl. a dv. 09:00 - 21:00 | ds. 09:00 - 21:00 | dg. 09:00 - 21:00 || Juliol: Indefinit,Sí,NA,NA,NA,NA,,POINT (2.1668637 41.38374067)
Alt Empordà,Palau-saverdera,171208,Sí,42.30949365,3.14466326,Piscina,Piscina municipal,"Av. Mas Oriol, s/n",608632143,ajuntament@palau-saverdera.cat,10:00 - 20:00,Sí,Sí,No,Sí,Sí,100,POINT (3.14466326 42.30949365)
Barcelonès,Barcelona,080193,Sí,41.40464414,2.17145689,Piscina,Piscines del Centre Esportiu Municipal Claror,"C. Sardenya, 333",NA,esportiuclaror@claror.cat,Juliol: dl. a dv. 07:00 - 23:00 | ds. 08:30 - 15:00 i 17:00 - 20:30 | dg. 09:00 - 15:30 || Agost: dl. a dv. 07:00 - 23:00 | ds. 09:00 - 15:00 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.17145689 41.40464414)
